question,type,scenario,instruction,responses,prompt,answer,answer_rational,gpt3.5,gpt3.5_rational,gpt4,gpt4_rational,bard,bard_rational
8,Rating,"You are working on a paediatric ward and you have prescribed a drug for a patient after being advised to do so by the consultant. The nurse looking after the patient has informed you that she will not give the drug to the patient as she has checked your calculation and believes that it is the wrong dose. You were confident that your calculations were correct. The drug was due to be given half an hour ago, and the patient’s parents are concerned that it is delayed. You know that the timing of the dose is not critical",Rate the appropriateness of the following actions in response to this situation. (1= Very appropriate; 4= Inappropriate).,Avoid having a conversation with the parents until after you have sorted out the issue with the drug dose,"You are working on a paediatric ward and you have prescribed a drug for a patient after being advised to do so by the consultant. The nurse looking after the patient has informed you that she will not give the drug to the patient as she has checked your calculation and believes that it is the wrong dose. You were confident that your calculations were correct. The drug was due to be given half an hour ago, and the patient’s parents are concerned that it is delayed. You know that the timing of the dose is not critical. Rate the appropriateness of the following actions in response to this situation. (1= Very appropriate; 4= Inappropriate). A.Reassure the parents that the delay in giving the drug will not cause harm to their child B.Tell the parents that the delay is because the nurse thinks that your drug calculations are incorrect C.Ask the consultant to confirm with yourself and the nurse what dose to give to the patient D.Avoid having a conversation with the parents until after you have sorted out the issue with the drug dose",4,"This action is very inappropriate as it is important to ensure that you address and respond to a patient and/or their family’s concerns (General Medical Council [GMC] good medical practice’s Communication, Partnership and Teamwork domain) in a prompt and timely fashion as to not cause any distress to the patient or their family (Four Pillars of Medical Ethics – Beneficence and NonMaleficence).",4,"Avoiding a conversation with the parents until after the issue with the drug dose is sorted out would not be the most appropriate action, as it could lead to increased anxiety and stress for the parents. Therefore, I would rate D as the least appropriate action (4=Inappropriate).",,,,
9,Rating,"While you are working on a ward, your consultant walks past you and asks you to order an urgent chest x-ray* for a patient. You attempt to ask him why, but he rushes off to treat another critically ill patient. The patient approaches you and asks for an update. When you tell the patient that you are about to order another chest x-ray, she tells you that she had a chest x-ray yesterday and asks why she needs another one.",Rate the appropriateness of the following responses to say in this situation. Assume they are all said in a polite way. (1= Very appropriate; 4= Inappropriate).,“The consultant asked for the chest x-ray but I’m not sure why.”,"While you are working on a ward, your consultant walks past you and asks you to order an urgent chest x-ray* for a patient. You attempt to ask him why, but he rushes off to treat another critically ill patient. The patient approaches you and asks for an update. When you tell the patient that you are about to order another chest x-ray, she tells you that she had a chest x-ray yesterday and asks why she needs another one. Rate the appropriateness of the following responses to say in this situation. Assume they are all said in a polite way. (1= Very appropriate; 4= Inappropriate). A.“The consultant asked for the chest x-ray but I’m not sure why.” B.“I’m not sure why you need one if you had one yesterday; I’ll cancel the chest x-ray.” C.“I’ll check that the consultant realises that you had a chest x-ray yesterday.”",3,"This response is somewhat inappropriate because although it is an honest response, it does not instil much confidence in your ability as a doctor that you have not found out the reasons for the chest x-ray request before addressing the patient (General Medical Council [GMC] good medical practice’s Patient Safety and Quality domain and the Knowledge, Skills and Performance domain). It would be more appropriate to reassure the patient by addressing her concerns when you have all the facts you need to do so effectively (GMC good medical practice’s Communication, Partnership and Teamwork domain and the Maintaining Trust domain).",4,"Saying that the consultant asked for the chest x-ray but the doctor is not sure why (option A) may cause the patient to lose confidence in the healthcare team. Therefore, I would rate this as the least appropriate response (4=Inappropriate).",,,,
9,Rating,"While you are working on a ward, your consultant walks past you and asks you to order an urgent chest x-ray* for a patient. You attempt to ask him why, but he rushes off to treat another critically ill patient. The patient approaches you and asks for an update. When you tell the patient that you are about to order another chest x-ray, she tells you that she had a chest x-ray yesterday and asks why she needs another one.",Rate the appropriateness of the following responses to say in this situation. Assume they are all said in a polite way. (1= Very appropriate; 4= Inappropriate).,“I’m not sure why you need one if you had one yesterday; I’ll cancel the chest x-ray.”,"While you are working on a ward, your consultant walks past you and asks you to order an urgent chest x-ray* for a patient. You attempt to ask him why, but he rushes off to treat another critically ill patient. The patient approaches you and asks for an update. When you tell the patient that you are about to order another chest x-ray, she tells you that she had a chest x-ray yesterday and asks why she needs another one. Rate the appropriateness of the following responses to say in this situation. Assume they are all said in a polite way. (1= Very appropriate; 4= Inappropriate). A.“The consultant asked for the chest x-ray but I’m not sure why.” B.“I’m not sure why you need one if you had one yesterday; I’ll cancel the chest x-ray.” C.“I’ll check that the consultant realises that you had a chest x-ray yesterday.”",4,"This is an inappropriate response because it is irresponsible and clinically negligent to make a clinical decision without having all the facts to cancel the chest x-ray (GMC good medical practice’s Patient Safety and Quality domain and the Knowledge, Skills and Performance domain). This action is also unethical because it is not in the best interest of the patient as there may be significant health implications from this action (Four Pillars of Medical Ethics – Beneficence and Non-Maleficence).",3,"Canceling the chest x-ray without further investigation (option B) could lead to potential harm to the patient if the chest x-ray was necessary. Therefore, I would rate this as the second least appropriate response (3=Somewhat inappropriate).",,,,
9,Rating,"While you are working on a ward, your consultant walks past you and asks you to order an urgent chest x-ray* for a patient. You attempt to ask him why, but he rushes off to treat another critically ill patient. The patient approaches you and asks for an update. When you tell the patient that you are about to order another chest x-ray, she tells you that she had a chest x-ray yesterday and asks why she needs another one.",Rate the appropriateness of the following responses to say in this situation. Assume they are all said in a polite way. (1= Very appropriate; 4= Inappropriate).,“I’ll check that the consultant realises that you had a chest x-ray yesterday.”,"While you are working on a ward, your consultant walks past you and asks you to order an urgent chest x-ray* for a patient. You attempt to ask him why, but he rushes off to treat another critically ill patient. The patient approaches you and asks for an update. When you tell the patient that you are about to order another chest x-ray, she tells you that she had a chest x-ray yesterday and asks why she needs another one. Rate the appropriateness of the following responses to say in this situation. Assume they are all said in a polite way. (1= Very appropriate; 4= Inappropriate). A.“The consultant asked for the chest x-ray but I’m not sure why.” B.“I’m not sure why you need one if you had one yesterday; I’ll cancel the chest x-ray.” C.“I’ll check that the consultant realises that you had a chest x-ray yesterday.”",1,"This is a very appropriate response as it is your responsibility as a doctor to ensure that you and the rest of the team have the most up to date and/or relevant information about a patient in order to make decisions about treatment options and to provide the best quality of care (GMC good medical practice’s Patient Safety and Quality domain and the Knowledge, Skills and Performance domain). This action is also in the best interest of the patient as it ensures that the patient is not unnecessarily over exposed to radiation by having another chest x-ray, particularly if it is not required (Four Pillars of Medical Ethics – Beneficence and Non-Maleficence).",1,"In this scenario, the patient is questioning the need for a chest x-ray, which is understandable. It is important to ensure that the patient receives appropriate care and that their concerns are addressed. Therefore, I would rate C as the most appropriate response (1=Very appropriate). This shows that the doctor is taking the patient's concerns seriously and that they are going to check with the consultant to ensure that the chest x-ray is necessary.",,,,
10,Rating,"A patient, Helen, was admitted to your ward overnight with abdominal pain and had an ultrasound this morning, which shows that she is pregnant. Her partner visits the ward and seesthis written in her notes. You are outside Helen’s room when you overhear her partner saying that he cannot be the baby's father. You are unsure whether to intervene in case the situation escalates, but his voice gets louder and he beings to shout at Helen.",Rate the importance of the following considerations in the management of this situation. (1= Very important; 4= Not at all important).,That Helen and her partner are having a private conversation,"A patient, Helen, was admitted to your ward overnight with abdominal pain and had an ultrasound this morning, which shows that she is pregnant. Her partner visits the ward and sees this written in her notes. You are outside Helen’s room when you overhear her partner saying that he cannot be the baby's father. You are unsure whether to intervene in case the situation escalates, but his voice gets louder and he beings to shout at Helen. Rate the importance of the following considerations in the management of this situation. (1= Very important; 4= Not at all important). A. That Helen and her partner are having a private conversation B. That Helen’s patient confidentiality is at risk of being compromised C. That Helen’s partner may become physically aggressive D. That it is not your job to intervene between patients and their families",3,"This consideration is of minor importance because although the conversation is private, it is taking place on the ward and has been overheard. What is more important is prioritising the safety and wellbeing of your patient (General Medical Council [GMC] good medical practice’s Patient Safety and Quality domain).",2,"It is important to respect patients' privacy, but the situation may escalate, and patient safety could be at risk",,,,
10,Rating,"A patient, Helen, was admitted to your ward overnight with abdominal pain and had an ultrasound this morning, which shows that she is pregnant. Her partner visits the ward and seesthis written in her notes. You are outside Helen’s room when you overhear her partner saying that he cannot be the baby's father. You are unsure whether to intervene in case the situation escalates, but his voice gets louder and he beings to shout at Helen.",Rate the importance of the following considerations in the management of this situation. (1= Very important; 4= Not at all important).,That Helen’s patient confidentiality is at risk of being compromised,"A patient, Helen, was admitted to your ward overnight with abdominal pain and had an ultrasound this morning, which shows that she is pregnant. Her partner visits the ward and sees this written in her notes. You are outside Helen’s room when you overhear her partner saying that he cannot be the baby's father. You are unsure whether to intervene in case the situation escalates, but his voice gets louder and he beings to shout at Helen. Rate the importance of the following considerations in the management of this situation. (1= Very important; 4= Not at all important). A. That Helen and her partner are having a private conversation B. That Helen’s patient confidentiality is at risk of being compromised C. That Helen’s partner may become physically aggressive D. That it is not your job to intervene between patients and their families",2,"This consideration isimportant because it is your responsibility as Helen’s doctor to preserve the dignity of your patient and to ensure that their confidential information is kept safe (GMC good medical practice’s Communication, Partnership and Teamwork domain). However, the main priority is the safety and wellbeing of your patient.",1,"Maintaining patient confidentiality is crucial, and steps should be taken to ensure that the information is not disclosed to others who do not need to know",,,,
10,Rating,"A patient, Helen, was admitted to your ward overnight with abdominal pain and had an ultrasound this morning, which shows that she is pregnant. Her partner visits the ward and seesthis written in her notes. You are outside Helen’s room when you overhear her partner saying that he cannot be the baby's father. You are unsure whether to intervene in case the situation escalates, but his voice gets louder and he beings to shout at Helen.",Rate the importance of the following considerations in the management of this situation. (1= Very important; 4= Not at all important).,That Helen’s partner may become physically aggressive,"A patient, Helen, was admitted to your ward overnight with abdominal pain and had an ultrasound this morning, which shows that she is pregnant. Her partner visits the ward and sees this written in her notes. You are outside Helen’s room when you overhear her partner saying that he cannot be the baby's father. You are unsure whether to intervene in case the situation escalates, but his voice gets louder and he beings to shout at Helen. Rate the importance of the following considerations in the management of this situation. (1= Very important; 4= Not at all important). A. That Helen and her partner are having a private conversation B. That Helen’s patient confidentiality is at risk of being compromised C. That Helen’s partner may become physically aggressive D. That it is not your job to intervene between patients and their families",1,This consideration is very important because the safety and wellbeing of your patient is a priority (GMC good medical practice’s Patient Safety and Quality domain) and ensuring that she is safe while she is vulnerable is essential to maintain her wellbeing as well as that of her baby (Four Pillars of Medical Ethics – Beneficence and Non-Maleficence).,1,"Patient and staff safety is of utmost importance, and steps should be taken to de-escalate the situation and prevent any harm",,,,
10,Rating,"A patient, Helen, was admitted to your ward overnight with abdominal pain and had an ultrasound this morning, which shows that she is pregnant. Her partner visits the ward and seesthis written in her notes. You are outside Helen’s room when you overhear her partner saying that he cannot be the baby's father. You are unsure whether to intervene in case the situation escalates, but his voice gets louder and he beings to shout at Helen.",Rate the importance of the following considerations in the management of this situation. (1= Very important; 4= Not at all important).,That it is not your job to intervene between patients and their families,"A patient, Helen, was admitted to your ward overnight with abdominal pain and had an ultrasound this morning, which shows that she is pregnant. Her partner visits the ward and sees this written in her notes. You are outside Helen’s room when you overhear her partner saying that he cannot be the baby's father. You are unsure whether to intervene in case the situation escalates, but his voice gets louder and he beings to shout at Helen. Rate the importance of the following considerations in the management of this situation. (1= Very important; 4= Not at all important). A. That Helen and her partner are having a private conversation B. That Helen’s patient confidentiality is at risk of being compromised C. That Helen’s partner may become physically aggressive D. That it is not your job to intervene between patients and their families",3,"This consideration is of minor importance because as a patient under your care, it is your responsibility to prioritise their care and needs (GMC good medical practice’s Patient Safety and Quality domain and the Communication, Partnership and Teamwork domain).",4,"It is the responsibility of healthcare professionals to intervene if a patient's safety is at risk, and the situation may require prompt action to prevent harm",,,,
11,Rating,"You have been working at a hospital for the past 3 months. Your consultant, Dr Wong, recently changed the structure of the FY1 rota, which now includes working more consecutive night shifts. Since the rota has changed, you have noticed that you and your colleagues are more tired and team morale appears low. Today, whilst you are on the ward, Dr Wong asks you “How is everyone finding the new rota?”",Rate the appropriateness of the following responses to say in this situation. Assume they are all said in a polite way. (1= Very appropriate; 4= Inappropriate).,“Was it necessary to change the rota?”,"You have been working at a hospital for the past 3 months. Your consultant, Dr Wong, recently changed the structure of the FY1 rota, which now includes working more consecutive night shifts. Since the rota has changed, you have noticed that you and your colleagues are more tired and team morale appears low. Today, whilst you are on the ward, Dr Wong asks you “How is everyone finding the new rota?” Rate the appropriateness of the following responses to say in this situation. Assume they are all said in a polite way. (1= Very appropriate; 4= Inappropriate). A. “Was it necessary to change the rota?” B.“It might be a good idea to discuss the new rota at a meeting with the whole team.” C. “I think it's OK, but you should speak to the rest of the team to see what they think."" ",4,"This response is inappropriate because it is most probably not the best way to open up a meaningful dialogue with your senior colleague about an issue that is having such a negative and significant impact on the team (General Medical Council [GMC] good medical practice’s Communication, Partnership and Teamwork domain). It would be more appropriate to express concern(s) in a more diplomatic manner in order to encourage your consultant to explore the issue in more detail with you and the rest of the team.",3,"Inappropriate, it can come across as confrontational and imply that the consultant made a mistake without any evidence",,,,
11,Rating,"You have been working at a hospital for the past 3 months. Your consultant, Dr Wong, recently changed the structure of the FY1 rota, which now includes working more consecutive night shifts. Since the rota has changed, you have noticed that you and your colleagues are more tired and team morale appears low. Today, whilst you are on the ward, Dr Wong asks you “How is everyone finding the new rota?”",Rate the appropriateness of the following responses to say in this situation. Assume they are all said in a polite way. (1= Very appropriate; 4= Inappropriate).,“It might be a good idea to discuss the new rota at a meeting with the whole team.”,"You have been working at a hospital for the past 3 months. Your consultant, Dr Wong, recently changed the structure of the FY1 rota, which now includes working more consecutive night shifts. Since the rota has changed, you have noticed that you and your colleagues are more tired and team morale appears low. Today, whilst you are on the ward, Dr Wong asks you “How is everyone finding the new rota?” Rate the appropriateness of the following responses to say in this situation. Assume they are all said in a polite way. (1= Very appropriate; 4= Inappropriate). A. “Was it necessary to change the rota?” B.“It might be a good idea to discuss the new rota at a meeting with the whole team.” C. “I think it's OK, but you should speak to the rest of the team to see what they think."" ",1,"This response is very appropriate so that concerns can be raised and discussed with the rest of the team (GMC good medical practice’s Communication, Partnership and Teamwork domain). Research indicates that fatigue/tiredness are linked with a higher risk of errors in clinical practice, therefore having the opportunity to express this concern as a group would be important in terms of minimising potential risk to patients (GMC good medical practice’s Patient Safety and Quality domain and the Communication, Partnership and Teamwork domain). It is also your collective responsibility as doctors to flag up any systemic issues that may negatively impact on patients and staff (GMC good medical practice’s Patient Safety and Quality domain and the Communication, Partnership and Teamwork domain).",1,"Very appropriate, it suggests a collaborative approach to finding a solution and involves the entire team",,,,
11,Rating,"You have been working at a hospital for the past 3 months. Your consultant, Dr Wong, recently changed the structure of the FY1 rota, which now includes working more consecutive night shifts. Since the rota has changed, you have noticed that you and your colleagues are more tired and team morale appears low. Today, whilst you are on the ward, Dr Wong asks you “How is everyone finding the new rota?”",Rate the appropriateness of the following responses to say in this situation. Assume they are all said in a polite way. (1= Very appropriate; 4= Inappropriate).,"“I think it's OK, but you should speak to the rest of the team to see what they think.""","You have been working at a hospital for the past 3 months. Your consultant, Dr Wong, recently changed the structure of the FY1 rota, which now includes working more consecutive night shifts. Since the rota has changed, you have noticed that you and your colleagues are more tired and team morale appears low. Today, whilst you are on the ward, Dr Wong asks you “How is everyone finding the new rota?” Rate the appropriateness of the following responses to say in this situation. Assume they are all said in a polite way. (1= Very appropriate; 4= Inappropriate). A. “Was it necessary to change the rota?” B.“It might be a good idea to discuss the new rota at a meeting with the whole team.” C. “I think it's OK, but you should speak to the rest of the team to see what they think."" ",3,"This response is somewhat inappropriate as it does not reflect your observations or your concerns about the impact of the change in rota on the team. It is important that as a doctor you raise concerns about risk, unsafe practice, or conduct (GMC good medical practice’s Communication, Partnership and Teamwork domain). It is also important that you are honest and act with integrity when providing feedback (GMC good medical practice’s Maintaining Trust domain).",2,"Somewhat appropriate, it acknowledges the potential issue with the rota but also puts the responsibility on the consultant to address it",,,,
12,Rating,"You are working on a general medical ward. Over the past week, you have noticed that your FY2 colleague, Eliza, has been more withdrawn than normal. She has also been more easily irritated, which is unlike her typically friendly manner. Earlier today, you noticed that Eliza was very abrupt with one of the student nurses, who looked upset in response. As you enter the staff room to have your lunch, you overhear some of the other nurses complaining about how rude Eliza has been recently. The nurses see you and continue talking.",Rate the appropriateness of the following actions in response to this situation. (1= Very appropriate; 4= Inappropriate).,"Ignore the nurses, leaving the staff room to eat your lunch elsewhere","You are working on a general medical ward. Over the past week, you have noticed that your FY2 colleague, Eliza, has been more withdrawn than normal. She has also been more easily irritated, which is unlike her typically friendly manner. Earlier today, you noticed that Eliza was very abrupt with one of the student nurses, who looked upset in response. As you enter the staff room to have your lunch, you overhear some of the other nurses complaining about how rude Eliza has been recently. The nurses see you and continue talking.Rate the appropriateness of the following actions in response to this situation. (1= Very appropriate; 4= Inappropriate). A. Ignore the nurses, leaving the staff room to eat your lunch elsewhere B.Find your FY2 colleague to tell her what you heard the nurses saying about her C.Speak to your FY2 colleague to find out if there is a reason for the recent change in her behaviour D.Advise your FY2 colleague that you have observed a change in behaviour that is having a negative impact at work",3,"This action is somewhat inappropriate because as a doctor, you must treat colleagues fairly and with respect (General Medical Council [GMC] good medical practice’s Communication, Partnership and Teamwork domain). Ignoring the nurses and leaving the staff room to eat elsewhere does not reflect a positive work ethic or teamwork and may be detrimental to your working relationship with other members of the team.",3,"It is not appropriate to ignore the situation, as it could potentially escalate and affect patient care.",,,,
12,Rating,,,Find your FY2 colleague to tell her what you heard the nurses saying about her,"You are working on a general medical ward. Over the past week, you have noticed that your FY2 colleague, Eliza, has been more withdrawn than normal. She has also been more easily irritated, which is unlike her typically friendly manner. Earlier today, you noticed that Eliza was very abrupt with one of the student nurses, who looked upset in response. As you enter the staff room to have your lunch, you overhear some of the other nurses complaining about how rude Eliza has been recently. The nurses see you and continue talking.Rate the appropriateness of the following actions in response to this situation. (1= Very appropriate; 4= Inappropriate). A. Ignore the nurses, leaving the staff room to eat your lunch elsewhere B.Find your FY2 colleague to tell her what you heard the nurses saying about her C.Speak to your FY2 colleague to find out if there is a reason for the recent change in her behaviour D.Advise your FY2 colleague that you have observed a change in behaviour that is having a negative impact at work",4,"This action is inappropriate because it is unprofessional and not in the best interest of fostering positive working relationships between the different member of staff (GMC good medical practice’s Communication, Partnership and Teamwork domain). This approach may also impact negatively on your FY2 colleague’s confidence, further isolating her from the rest of the team and worsening the already strained working relationships.",4,It is not appropriate to tell your colleague what you heard as it could create more tension and make the situation worse.,,,,
12,Rating,,,Speak to your FY2 colleague to find out if there is a reason for the recent change in her behaviour,"You are working on a general medical ward. Over the past week, you have noticed that your FY2 colleague, Eliza, has been more withdrawn than normal. She has also been more easily irritated, which is unlike her typically friendly manner. Earlier today, you noticed that Eliza was very abrupt with one of the student nurses, who looked upset in response. As you enter the staff room to have your lunch, you overhear some of the other nurses complaining about how rude Eliza has been recently. The nurses see you and continue talking.Rate the appropriateness of the following actions in response to this situation. (1= Very appropriate; 4= Inappropriate). A. Ignore the nurses, leaving the staff room to eat your lunch elsewhere B.Find your FY2 colleague to tell her what you heard the nurses saying about her C.Speak to your FY2 colleague to find out if there is a reason for the recent change in her behaviour D.Advise your FY2 colleague that you have observed a change in behaviour that is having a negative impact at work",1,"This action is very appropriate because it is your responsibility as a doctor and as a colleague to raise concern about your colleague’s change in behaviour. It is also important to do this in a confidential and supportive manner in order to ascertain how to best support your colleague though the challenges she may be facing (GMC good medical practice’s Communication, Partnership and Teamwork domain and the Maintaining Trust domain).",1, It is important to check if there is a reason for the change in behavior to ensure your colleague is well and to identify if there is a need for additional support.,,,,
12,Rating,,,Advise your FY2 colleague that you have observed a change in behaviour that is having a negative impact at work,"You are working on a general medical ward. Over the past week, you have noticed that your FY2 colleague, Eliza, has been more withdrawn than normal. She has also been more easily irritated, which is unlike her typically friendly manner. Earlier today, you noticed that Eliza was very abrupt with one of the student nurses, who looked upset in response. As you enter the staff room to have your lunch, you overhear some of the other nurses complaining about how rude Eliza has been recently. The nurses see you and continue talking.Rate the appropriateness of the following actions in response to this situation. (1= Very appropriate; 4= Inappropriate). A. Ignore the nurses, leaving the staff room to eat your lunch elsewhere B.Find your FY2 colleague to tell her what you heard the nurses saying about her C.Speak to your FY2 colleague to find out if there is a reason for the recent change in her behaviour D.Advise your FY2 colleague that you have observed a change in behaviour that is having a negative impact at work",2,"This action is somewhat appropriate because it is your responsibility as a doctor and as a colleague to raise concern about your colleague’s change in behaviour. Although it is the FY2 colleague’s responsibility as a doctor to be aware of the impact of her behaviour/change in behaviour on others (GMC good medical practice’s Communication, Partnership and Teamwork domain), it is important that you support colleagues who may have problems with their performance or health and that you are honest when giving feedback to your colleague about your observations (GMC good 12. Part A: You are working on a general medical ward. Over the past week, you have noticed that your FY2 colleague, Eliza, has been more withdrawn than normal. She has also been more easily irritated, which is unlike her typically friendly manner. Earlier today, you noticed that Eliza was very abrupt with one of the student nurses, who looked upset in response. As you enter the staff room to have your lunch, you overhear some of the other nurses complaining about how rude Eliza has been recently. The nurses see you and continue talking. 17 medical practice’s Communication, Partnership and Teamwork domain and the Maintaining Trust domain), so that she is made aware of her change in behaviour and its potential impact on others.",2,It is important to address the situation and inform your colleague of the impact of their behavior on the team and patient care.,,,,
13,Rating,"You are working on a general medical ward. Over the past week, you have noticed that your FY2
colleague, Eliza, has been more withdrawn than normal. She has also been more easily irritated,
which is unlike her typically friendly manner. Earlier today, you noticed that Eliza was very abrupt
with one of the student nurses, who looked upset in response. As you enter the staff room to have
your lunch, you overhear some of the other nurses complaining about how rude Eliza has been
recently. The nurses see you and continue talking. This afternoon you are sat with your FY2 colleague, Eliza, on the ward. She becomes frustrated by
making a mistake on some paperwork and disturbs you from writing your own notes. She
apologises and explains that she is feeling very stressed at the moment, as she is worrying about
an upcoming exam. She tells you that she that has been finding it difficult to concentrate at work
and apologises if her recent mood has affected you in any way.",Rate the appropriateness of the following actions in response to this situation. (1= Very appropriate; 4= Inappropriate).,Reassure your FY2 colleague that she will feel less stressed when the exam is over,"You are working on a general medical ward. Over the past week, you have noticed that your FY2 colleague, Eliza, has been more withdrawn than normal. She has also been more easily irritated, which is unlike her typically friendly manner. Earlier today, you noticed that Eliza was very abrupt with one of the student nurses, who looked upset in response. As you enter the staff room to have your lunch, you overhear some of the other nurses complaining about how rude Eliza has been recently. The nurses see you and continue talking. This afternoon you are sat with your FY2 colleague, Eliza, on the ward. She becomes frustrated by making a mistake on some paperwork and disturbs you from writing your own notes. She apologises and explains that she is feeling very stressed at the moment, as she is worrying about an upcoming exam. She tells you that she that has been finding it difficult to concentrate at work and apologises if her recent mood has affected you in any way."" Rate the appropriateness of the following actions in response to this situation. (1= Very appropriate; 4= Inappropriate). A. Reassure your FY2 colleague that she will feel less stressed when the exam is over B. Ask your FY2 colleague if she has considered speaking to her educational supervisor* about how she is feeling C. Suggest taking on some of your FY2 colleague’s workload to allow her more time to study D. Inform your FY2 colleague that some of the nurses have noticed a change in her behaviour",2,"This action is somewhat appropriate because although is it is important that you support colleagues who may have problems with their performance or health, reassuring her is beneficial to her in terms of making her feel better. However, this action does not address the impact that her behaviour is having on others and it is also important that you are honest when giving feedback to your colleague about your observations/concerns (General Medical Council [GMC] good medical practice’s Communication, Partnership and Teamwork domain and the Maintaining Trust domain).",4,"While this statement may be true, it doesn't address the root of the problem and may come across as dismissive of her current stress and difficulties.",,,,
13,Rating,,,Ask your FY2 colleague if she has considered speaking to her educational supervisor* about how she is feeling,"You are working on a general medical ward. Over the past week, you have noticed that your FY2 colleague, Eliza, has been more withdrawn than normal. She has also been more easily irritated, which is unlike her typically friendly manner. Earlier today, you noticed that Eliza was very abrupt with one of the student nurses, who looked upset in response. As you enter the staff room to have your lunch, you overhear some of the other nurses complaining about how rude Eliza has been recently. The nurses see you and continue talking. This afternoon you are sat with your FY2 colleague, Eliza, on the ward. She becomes frustrated by making a mistake on some paperwork and disturbs you from writing your own notes. She apologises and explains that she is feeling very stressed at the moment, as she is worrying about an upcoming exam. She tells you that she that has been finding it difficult to concentrate at work and apologises if her recent mood has affected you in any way."" Rate the appropriateness of the following actions in response to this situation. (1= Very appropriate; 4= Inappropriate). A. Reassure your FY2 colleague that she will feel less stressed when the exam is over B. Ask your FY2 colleague if she has considered speaking to her educational supervisor* about how she is feeling C. Suggest taking on some of your FY2 colleague’s workload to allow her more time to study D. Inform your FY2 colleague that some of the nurses have noticed a change in her behaviour",1,"This action is very appropriate as it is important that you support colleagues who may have problems with their performance or health and suggesting that Eliza discusses how she is feeling is an appropriate suggestion in terms of getting Eliza the support she needs to resolve the challenges that she is facing (GMC good medical practice’s Communication, Partnership and Teamwork domain).",1,"Speaking to her educational supervisor may be a good way for Eliza to receive support, both with regards to her exam stress and any underlying issues that may be affecting her work.",,,,
13,Rating,,,Suggest taking on some of your FY2 colleague’s workload to allow her more time to study,"You are working on a general medical ward. Over the past week, you have noticed that your FY2 colleague, Eliza, has been more withdrawn than normal. She has also been more easily irritated, which is unlike her typically friendly manner. Earlier today, you noticed that Eliza was very abrupt with one of the student nurses, who looked upset in response. As you enter the staff room to have your lunch, you overhear some of the other nurses complaining about how rude Eliza has been recently. The nurses see you and continue talking. This afternoon you are sat with your FY2 colleague, Eliza, on the ward. She becomes frustrated by making a mistake on some paperwork and disturbs you from writing your own notes. She apologises and explains that she is feeling very stressed at the moment, as she is worrying about an upcoming exam. She tells you that she that has been finding it difficult to concentrate at work and apologises if her recent mood has affected you in any way."" Rate the appropriateness of the following actions in response to this situation. (1= Very appropriate; 4= Inappropriate). A. Reassure your FY2 colleague that she will feel less stressed when the exam is over B. Ask your FY2 colleague if she has considered speaking to her educational supervisor* about how she is feeling C. Suggest taking on some of your FY2 colleague’s workload to allow her more time to study D. Inform your FY2 colleague that some of the nurses have noticed a change in her behaviour",4,"This action is inappropriate because it is out of your scope of practice to take on your colleague’s workload, raising potential risk to patientsafety (GMC good medical practice’s Knowledge, Skills and Performance domain and the Patient Safety and Quality domain). The monitoring and supervision of Eliza’s caseload and performance is the responsibility of her clinical/educational supervisor and not you as her peer.",3,"While this statement may come from a good place, it is not necessarily a feasible solution and could create further workload issues for yourself or other team members.",,,,
13,Rating,,,Inform your FY2 colleague that some of the nurses have noticed a change in her behaviour,"You are working on a general medical ward. Over the past week, you have noticed that your FY2 colleague, Eliza, has been more withdrawn than normal. She has also been more easily irritated, which is unlike her typically friendly manner. Earlier today, you noticed that Eliza was very abrupt with one of the student nurses, who looked upset in response. As you enter the staff room to have your lunch, you overhear some of the other nurses complaining about how rude Eliza has been recently. The nurses see you and continue talking. This afternoon you are sat with your FY2 colleague, Eliza, on the ward. She becomes frustrated by making a mistake on some paperwork and disturbs you from writing your own notes. She apologises and explains that she is feeling very stressed at the moment, as she is worrying about an upcoming exam. She tells you that she that has been finding it difficult to concentrate at work and apologises if her recent mood has affected you in any way."" Rate the appropriateness of the following actions in response to this situation. (1= Very appropriate; 4= Inappropriate). A. Reassure your FY2 colleague that she will feel less stressed when the exam is over B. Ask your FY2 colleague if she has considered speaking to her educational supervisor* about how she is feeling C. Suggest taking on some of your FY2 colleague’s workload to allow her more time to study D. Inform your FY2 colleague that some of the nurses have noticed a change in her behaviour",2,"This action is somewhat appropriate because it is your responsibility to raise concern about your colleague’s behaviour and be honest about its impact on the rest of the team (GMC good medical practice’s Communication, Partnership and Teamwork domain and the Maintaining Trust domain). However, it is also important to consider the potential impact of disclosing this information to Eliza who is already stressed about her workload and upcoming exams.",3,"While it is important to address issues with a colleague's behavior, it may not be the best approach to bring up other people's concerns during a vulnerable moment. It may be more appropriate to address this separately with Eliza in a more private setting.",,,,
